ime,visina,stevilo_poti
Blejsko jezero,475,1
Slap Beri,454,1
Izvir Glijuna,450,1
Mala Boka,440,1
Kozlov rob,426,2
Slap Sopota (Soupat),400,1
Slap Virje,400,1
Gregorčičev slap,390,1
Korita Soče pri Kršovcu,390,1
Slap Veliki Kozjak,250,1
Slap Mali Kozjak,230,1
Tolminska korita,180,0
